I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.024,-0.031,-0.006,,,,,,,,,
-0.038,-0.049,-0.01,,,,,,,,,
-0.031,-0.043,-0.011,,,,,,,,,
-0.041,-0.04,0.001,,,,,,,,,
-0.037,0.0,0.037,,,,,,,,,
0.032,0.09,0.058,,,,,,,,,
0.131,0.162,0.03,,,,,,,,,
0.273,0.211,-0.06,,,,,,,,,
0.498,0.289,-0.208,,,,,,,,,
0.634,0.314,-0.32,,,,,,,,,
0.712,0.279,-0.433,,,,,,,,,
0.699,0.27,-0.429,,,,,,,,,
0.583,0.111,-0.471,,,,,,,,,
0.387,-0.144,-0.532,,,,,,,,,
0.135,-0.221,-0.357,,,,,,,,,
0.033,-0.235,-0.269,,,,,,,,,
-0.002,-0.196,-0.194,,,,,,,,,
-0.026,-0.148,-0.121,,,,,,,,,
-0.058,-0.122,-0.064,,,,,,,,,
-0.053,-0.114,-0.061,,,,,,,,,
-0.048,-0.1,-0.052,,,,,,,,,
-0.012,-0.091,-0.079,,,,,,,,,
-0.001,-0.089,-0.087,,,,,,,,,
-0.006,-0.09,-0.083,,,,,,,,,
-0.006,-0.089,-0.083,,,,,,,,,
-0.011,-0.09,-0.078,,,,,,,,,
-0.008,-0.09,-0.081,,,,,,,,,
-0.012,-0.089,-0.077,,,,,,,,,
-0.018,-0.094,-0.075,,,,,,,,,
-0.024,-0.098,-0.074,,,,,,,,,
-0.018,-0.093,-0.074,,,,,,,,,
-0.04,-0.095,-0.054,,,,,,,,,
-0.056,-0.094,-0.037,,,,,,,,,
-0.081,-0.095,-0.014,,,,,,,,,
-0.088,-0.094,-0.005,,,,,,,,,
-0.076,-0.095,-0.018,,,,,,,,,
-0.079,-0.093,-0.013,,,,,,,,,
-0.074,-0.089,-0.015,,,,,,,,,
-0.075,-0.09,-0.014,,,,,,,,,
-0.075,-0.089,-0.014,,,,,,,,,
-0.08,-0.09,-0.009,,,,,,,,,
-0.079,-0.089,-0.01,,,,,,,,,
-0.08,-0.09,-0.009,,,,,,,,,
-0.079,-0.089,-0.01,,,,,,,,,
-0.101,-0.108,-0.006,,,,,,,,,
-0.107,-0.112,-0.004,,,,,,,,,
-0.103,-0.108,-0.005,,,,,,,,,
-0.106,-0.111,-0.004,,,,,,,,,
-0.098,-0.105,-0.005,,,,,,,,,
-0.105,-0.105,0.0,,,,,,,,,
-0.115,-0.104,0.011,,,,,,,,,
-0.123,-0.105,0.018,,,,,,,,,
-0.108,-0.1,0.008,,,,,,,,,
-0.091,-0.1,-0.008,,,,,,,,,
-0.076,-0.099,-0.023,,,,,,,,,
-0.058,-0.096,-0.038,,,,,,,,,
-0.059,-0.093,-0.034,,,,,,,,,
-0.061,-0.095,-0.034,,,,,,,,,
-0.065,-0.094,-0.029,,,,,,,,,
-0.086,-0.117,-0.03,,,,,,,,,
-0.085,-0.11,-0.025,,,,,,,,,
-0.084,-0.109,-0.024,,,,,,,,,
-0.077,-0.098,-0.021,,,,,,,,,
-0.089,-0.109,-0.019,,,,,,,,,
-0.097,-0.116,-0.019,,,,,,,,,
-0.094,-0.108,-0.014,,,,,,,,,
-0.09,-0.105,-0.015,,,,,,,,,
-0.083,-0.098,-0.014,,,,,,,,,
-0.073,-0.089,-0.015,,,,,,,,,
-0.059,-0.07,-0.011,,,,,,,,,
-0.047,-0.056,-0.009,,,,,,,,,
-0.033,-0.043,-0.01,,,,,,,,,
-0.022,-0.031,-0.009,,,,,,,,,
-0.003,-0.016,-0.012,,,,,,,,,
0.033,-0.006,-0.039,,,,,,,,,
0.082,0.015,-0.065,,,,,,,,,
