id,fs,sig_len
7663343,500,5000
10140238,1000,10000
11842146,1000,10000
19030958,250,2500
19585145,512,5120
31175200,250,2500
31294838,512,5120
32650710,250,2500
35187032,500,5000
36494663,1025,10250
37579740,1000,10000
38118497,1000,10000
46930936,250,2500
49746380,250,2500
54505697,500,5000
57127905,500,5000
57655084,1000,10000
63496229,1000,10000
66870442,500,5000
78833408,512,5120
82847757,256,2560
85286791,256,2560
88853795,1000,10000
90355132,512,5120
91831581,256,2560
94316125,256,2560
102150619,256,2560
104573050,512,5120
106482869,250,2500
108599929,1025,10250
112870634,250,2500
119693645,250,2500
121471389,256,2560
129883643,1000,10000
133948617,256,2560
136433453,1000,10000
136524867,500,5000
142408315,500,5000
143477987,1000,10000
144746082,250,2500
145098200,512,5120
145375843,256,2560
145399852,1025,10250
147393955,500,5000
157249266,250,2500
162622667,256,2560
162686318,500,5000
168239620,512,5120
170158778,512,5120
181086745,512,5120
185534667,1025,10250
190186115,250,2500
194732810,512,5120
197560770,1000,10000
198290386,512,5120
202594271,1025,10250
202613567,250,2500
212782370,256,2560
214041807,250,2500
214789805,256,2560
215513144,512,5120
216148309,1000,10000
217252848,250,2500
219464741,256,2560
225208096,1025,10250
226831622,512,5120
230071334,256,2560
235672018,1025,10250
235857261,256,2560
236587707,500,5000
240241572,250,2500
242807775,500,5000
243863200,250,2500
248896550,256,2560
249637450,500,5000
251145180,1025,10250
257884878,1000,10000
261884655,1000,10000
264050025,500,5000
271844478,500,5000
275951973,1025,10250
276854552,1025,10250
290502839,512,5120
295786280,1025,10250
296219186,1025,10250
304464693,250,2500
309723963,1000,10000
314575601,250,2500
322270944,512,5120
322694441,1000,10000
324905211,250,2500
327451863,1000,10000
328766351,1000,10000
330177955,250,2500
331919502,500,5000
332019944,1000,10000
333400483,512,5120
334628058,250,2500
347249497,500,5000
355772854,250,2500
367771390,256,2560
370507243,512,5120
373488002,250,2500
383109730,250,2500
384531557,250,2500
384858464,512,5120
385584045,250,2500
391205329,250,2500
391670689,1025,10250
402406330,250,2500
404268013,1000,10000
405307743,1000,10000
408176954,1000,10000
410096639,256,2560
419796495,1025,10250
421952482,1025,10250
426433979,250,2500
433501783,500,5000
435995450,1000,10000
439738770,512,5120
452845711,500,5000
454803658,500,5000
462614952,1000,10000
463829555,1025,10250
468577389,256,2560
474136527,512,5120
480839117,250,2500
486404160,256,2560
498517692,256,2560
500216573,1000,10000
502644966,1000,10000
505886807,500,5000
506210768,500,5000
514629128,500,5000
516558408,512,5120
534519203,250,2500
536746521,256,2560
540379822,500,5000
541485763,1025,10250
542384223,1000,10000
544348010,512,5120
545734163,250,2500
546219911,512,5120
548033375,500,5000
550131831,1000,10000
563193340,256,2560
565587895,1025,10250
566939723,256,2560
587785667,256,2560
595922652,1025,10250
601889565,500,5000
604355197,256,2560
605780430,1025,10250
606637005,500,5000
610253198,1000,10000
622992199,1000,10000
624700902,512,5120
627298238,250,2500
629987266,250,2500
636041467,1000,10000
639258859,256,2560
640106434,512,5120
644026427,1000,10000
644745427,256,2560
660290090,512,5120
664788009,512,5120
668648821,1000,10000
676783200,256,2560
679686315,500,5000
690118528,1025,10250
695772213,512,5120
696889591,500,5000
702673935,250,2500
703370585,250,2500
704448877,1000,10000
704591922,1025,10250
704603806,500,5000
705134315,512,5120
718765205,1025,10250
720120134,500,5000
720549316,250,2500
721569288,1025,10250
731307831,256,2560
734480510,1025,10250
735091708,250,2500
735384893,500,5000
735667633,512,5120
740083255,256,2560
740796547,256,2560
751728116,1025,10250
752641433,250,2500
754828755,500,5000
756496891,250,2500
756565655,500,5000
757903519,256,2560
761660843,1025,10250
761994718,1000,10000
762268205,500,5000
763965571,1000,10000
764479915,1025,10250
783542896,250,2500
783737093,500,5000
786384302,500,5000
791634457,1025,10250
792795164,250,2500
812510412,512,5120
818606702,256,2560
821230000,1000,10000
827593346,1025,10250
828004421,1000,10000
830220007,1025,10250
831376508,512,5120
831662714,1000,10000
835070631,512,5120
842953546,500,5000
844988344,1000,10000
847329431,512,5120
853020153,500,5000
853349469,256,2560
857456286,500,5000
864687229,512,5120
866477990,256,2560
867270557,256,2560
873908108,256,2560
874408057,250,2500
880224451,1025,10250
881979843,1000,10000
882396271,500,5000
886571969,256,2560
887374646,1000,10000
892067079,1025,10250
892601258,250,2500
