I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.035,-0.06,-0.095,,,,,,,,,
0.036,-0.059,-0.095,,,,,,,,,
0.04,-0.055,-0.095,,,,,,,,,
0.041,-0.055,-0.095,,,,,,,,,
0.037,-0.055,-0.092,,,,,,,,,
0.034,-0.055,-0.089,,,,,,,,,
0.036,-0.054,-0.09,,,,,,,,,
0.04,-0.05,-0.09,,,,,,,,,
0.04,-0.05,-0.09,,,,,,,,,
0.039,-0.051,-0.09,,,,,,,,,
0.042,-0.048,-0.09,,,,,,,,,
0.045,-0.045,-0.09,,,,,,,,,
0.045,-0.045,-0.09,,,,,,,,,
0.045,-0.045,-0.09,,,,,,,,,
0.045,-0.046,-0.091,,,,,,,,,
0.045,-0.043,-0.088,,,,,,,,,
0.045,-0.04,-0.085,,,,,,,,,
0.045,-0.04,-0.085,,,,,,,,,
0.045,-0.04,-0.085,,,,,,,,,
0.044,-0.041,-0.085,,,,,,,,,
0.047,-0.038,-0.085,,,,,,,,,
0.049,-0.035,-0.084,,,,,,,,,
0.045,-0.035,-0.08,,,,,,,,,
0.049,-0.031,-0.08,,,,,,,,,
0.05,-0.03,-0.08,,,,,,,,,
0.052,-0.028,-0.08,,,,,,,,,
0.055,-0.025,-0.08,,,,,,,,,
0.055,-0.025,-0.08,,,,,,,,,
0.06,-0.021,-0.08,,,,,,,,,
0.057,-0.02,-0.077,,,,,,,,,
0.056,-0.018,-0.074,,,,,,,,,
0.06,-0.015,-0.075,,,,,,,,,
0.06,-0.015,-0.075,,,,,,,,,
0.067,-0.008,-0.075,,,,,,,,,
0.077,0.002,-0.076,,,,,,,,,
0.08,0.007,-0.073,,,,,,,,,
0.081,0.012,-0.07,,,,,,,,,
0.09,0.02,-0.07,,,,,,,,,
0.098,0.028,-0.07,,,,,,,,,
0.103,0.033,-0.07,,,,,,,,,
